"gene","D","P_random","P_brownian","n","n1","n0","status","p_adjustp","p_adjustb","n_prop","n1_prop"
"FBgn0260439",-0.0659288951612485,0,0.655,216,29,187,"ok",0,0.767254575707155,0.72,0.134259259259259
"FBgn0031081",0.131889057426158,0,0.201,228,101,127,"ok",0,0.369235303146585,0.76,0.442982456140351
"FBgn0031085",-0.519386579172595,0,0.771,29,5,24,"ok",0,0.845148195640227,0.0966666666666667,0.172413793103448
"FBgn0062565",9.56373196836413,0.942,0,13,1,12,"ok",0.951621169916434,0,0.0433333333333333,0.0769230769230769
"FBgn0031089",0.635046586146165,0,0,218,35,183,"ok",0,0,0.726666666666667,0.160550458715596
"FBgn0031092",0.125198691828477,0,0.338,63,18,45,"ok",0,0.507296714321545,0.21,0.285714285714286
"FBgn0031094",0.21772493165676,0,0.212,68,33,35,"ok",0,0.380963363363363,0.226666666666667,0.485294117647059
"FBgn0000084",1.13599041247275,0.745,0,134,7,127,"ok",0.784735081851787,0,0.446666666666667,0.0522388059701493
"FBgn0031093",1.02142858006038,0.507,0.001,77,10,67,"ok",0.560740781813141,0.0103798785776236,0.256666666666667,0.12987012987013
"FBgn0031091",-0.00400886014349407,0.114,0.484,16,3,13,"ok",0.147099946091644,0.6331306153678,0.0533333333333333,0.1875
"FBgn0031090",0.388469179889566,0.005,0.155,78,8,70,"ok",0.00830649639089395,0.313775372124493,0.26,0.102564102564103
"FBgn0041626",NA,NA,NA,3,0,3,"skipped",NA,NA,0.01,0
"FBgn0031086",-0.147672913085133,0,0.621,33,23,10,"ok",0,0.742099650524214,0.11,0.696969696969697
"FBgn0053517",0.502669344176626,0,0.001,298,55,243,"ok",0,0.0103798785776236,0.993333333333333,0.184563758389262
"FBgn0031082",NA,NA,NA,5,0,5,"skipped",NA,NA,0.0166666666666667,0
"FBgn0031080",0.777551793947912,0.259,0.068,21,8,13,"ok",0.309321624588364,0.18790671900254,0.07,0.380952380952381
"FBgn0010215",0.802715965766325,0.065,0,138,26,112,"ok",0.0883799136559873,0,0.46,0.188405797101449
"FBgn0052230",-0.981158831046215,0.001,0.931,15,5,10,"ok",0.00181912144702842,0.949808882448214,0.05,0.333333333333333
"FBgn0264492",0.596017704835508,0.007,0.01,135,16,119,"ok",0.0113810623556582,0.0548990825688073,0.45,0.118518518518519
"FBgn0053217",4.56778399514954,0.88,0.067,9,1,8,"ok",0.901312794180573,0.186434782608696,0.03,0.111111111111111
"FBgn0052350",1.41018326851513,0.791,0.03,21,3,18,"ok",0.826424094281973,0.112270168855535,0.07,0.142857142857143
"FBgn0052820",0.336429120074271,0.002,0.163,86,11,75,"ok",0.00351070695218539,0.323405835543767,0.286666666666667,0.127906976744186
"FBgn0040028",1.35010522549829,0.81,0.008,38,4,34,"ok",0.842304283604136,0.0475628415300546,0.126666666666667,0.105263157894737
"FBgn0027588",0.372591666875829,0,0.056,122,27,95,"ok",0,0.166181006694768,0.406666666666667,0.221311475409836
"FBgn0040372",0.548163995484177,0.001,0.004,106,28,78,"ok",0.00181912144702842,0.0296054421768707,0.353333333333333,0.264150943396226
"FBgn0000316",0.912648334286526,0.339,0.091,44,3,41,"ok",0.391768250289687,0.224600536193029,0.146666666666667,0.0681818181818182
"FBgn0024989",0.839623092830409,0.09,0,135,33,102,"ok",0.118625550660793,0,0.45,0.244444444444444
"FBgn0040371",0.606267228756026,0.125,0.112,24,7,17,"ok",0.159948679568053,0.255706982067913,0.08,0.291666666666667
"FBgn0029521",7.24691710466656,0.892,0.031,21,1,20,"ok",0.911108304173423,0.114543995060204,0.07,0.0476190476190476
"FBgn0004034",-0.396882526260271,0.117,0.633,23,1,22,"ok",0.150629948364888,0.751189291026277,0.0766666666666667,0.0434782608695652
"FBgn0000022",NA,NA,NA,41,41,0,"skipped",NA,NA,0.136666666666667,1
"FBgn0004170",0.309138761254611,0.101,0.327,31,28,3,"ok",0.131588068800348,0.497020066040132,0.103333333333333,0.903225806451613
"FBgn0002561",2.61084769618338,0.776,0.12,26,25,1,"ok",0.813023548980128,0.267093174632695,0.0866666666666667,0.961538461538462
"FBgn0000137",-0.0798274131972123,0,0.607,49,22,27,"ok",0,0.732463803186126,0.163333333333333,0.448979591836735
"FBgn0029522",6.43865995678196,0.627,0.112,8,1,7,"ok",0.675847608754391,0.255706982067913,0.0266666666666667,0.125
"FBgn0052817",NA,NA,NA,1,0,1,"skipped",NA,NA,0.00333333333333333,0
"FBgn0029524",NA,NA,NA,4,0,4,"skipped",NA,NA,0.0133333333333333,0
"FBgn0023536",-0.0708026862345746,0,0.571,31,13,18,"ok",0,0.703854979915542,0.103333333333333,0.419354838709677
"FBgn0023534",0.136973059626866,0,0.257,125,38,87,"ok",0,0.429337800111669,0.416666666666667,0.304
"FBgn0004648",0.900906112572372,0.21,0,137,29,108,"ok",0.256195718654434,0,0.456666666666667,0.211678832116788
"FBgn0023535",0.387700849396138,0,0.019,225,33,192,"ok",0,0.083630746598014,0.75,0.146666666666667
"FBgn0024983",0.425706145549315,0.001,0.046,83,17,66,"ok",0.00181912144702842,0.146768328445748,0.276666666666667,0.204819277108434
"FBgn0260400",0.567387261278416,0,0,209,55,154,"ok",0,0,0.696666666666667,0.263157894736842
"FBgn0023537",0.571337758025202,0.002,0.012,185,16,169,"ok",0.00351070695218539,0.0619568593615185,0.616666666666667,0.0864864864864865
"FBgn0029525",-0.0593987004424423,0.007,0.537,21,11,10,"ok",0.0113810623556582,0.677433962264151,0.07,0.523809523809524
"FBgn0266572",0.385687023505474,0,0.032,255,23,232,"ok",0,0.116832214765101,0.85,0.0901960784313725
"FBgn0010019",0.126056530200562,0,0.266,152,82,70,"ok",0,0.43855737704918,0.506666666666667,0.539473684210526
"FBgn0011822",0.193182979293307,0.083,0.383,14,6,8,"ok",0.110273534635879,0.547051438119107,0.0466666666666667,0.428571428571429
"FBgn0052816",-0.240020520855406,0,0.681,25,8,17,"ok",0,0.785486507324595,0.0833333333333333,0.32
